DEF CON [SomaFM],"mid-tempo, downtempo, chill-out, chillstep, electro-soul, ambient",http://ice3.somafm.com/defcon-128-aac
Black Rock FM [SomaFM],"dark ambient, desert electronic",http://ice3.somafm.com/brfm-128-aac
Synphaera [SomaFM],"modern electronic, ambient, space",http://ice2.somafm.com/synphaera-128-aac
Drone Zone [SomaFM],"ambient, space",http://ice2.somafm.com/dronezone-128-aac
Deep Space One [SomaFM],"ambient, space",http://ice2.somafm.com/deepspaceone-128-aac
Space Station Soma [SomaFM],"downtempo, space",http://ice5.somafm.com/spacestation-128-aac
SF 10-33 [SomaFM],"ambient, police dispatch",http://ice3.somafm.com/sf1033-128-aac
Groove Salad [SomaFM],"ambient, downtempo",http://ice6.somafm.com/groovesalad-128-aac
Groove Salad Classic [SomaFM],"downtempo, chill-out",http://ice4.somafm.com/gsclassic-128-aac
n5MD [SomaFM],"ambient, modern composition, post-rock, experimental electronic",http://ice2.somafm.com/n5md-128-aac
The Trip [SomaFM],"progressive house, trance",http://ice4.somafm.com/thetrip-128-aac
DeepSpaceChill [Radio InfoWeb],"chill-out, EDM | New York",http://stream.radioinfoweb.net:8000/chill
Ambient Modern,"ambient, lo-fi, new-age",http://163.172.169.217:80/Ambient
Planet Ambi HD,"ambient, meditation | Swiss",http://176.31.107.8:9019/Ambient
Radio Schizoid,"psychdelic, chill-out, ambient | Mumbai",http://94.130.113.214:8000/chill
Chill Out Zone,"chill-out, psychill, ambient, breaks | NL",http://144.76.81.20:8000/Ambient
AmbientRadio [MRG.fm],"ambient, meditation, experimental downtempo",http://62.149.196.16:8888
Cosmic Island,"ambient, chill, new-age, meditation, spiritual",https://ais-edge08-live365-dal02.cdnstream.com/a65670
Hirschmilch Chill-out,"chill-out",http://hirschmilch.de:7000/chillout.mp3
Zero Beat Zone [MRG.fm],"dark industrial, psybient, environmental, experimental",http://62.149.196.16:8800/stream
Real World Sounds,"nature sounds, ambient, chill-out, meditation",http://uk5.internet-radio.com:8260/stream
Ambient Fantasy [DI],"ambient",http://5.39.71.159:8193
